NAME ,PHONE NUMBER,GROUP
Sms Recipient 1,2.55E+11,Grp1
Sms Recipient 2,2.55E+11,Grp1
Sms Recipient 3,2.55E+11,Grp1
Sms Recipient 4,2.55E+11,Grp1
Sms Recipient 5,2.55E+11,Grp1
Sms Recipient 6,2.55E+11,Grp1
Sms Recipient 7,2.55E+11,Grp1
Sms Recipient 8,2.55E+11,Grp1
Sms Recipient 9,2.55E+11,Grp1
Sms Recipient 10,2.55E+11,Grp1
Sms Recipient 11,2.55E+11,Grp1
Sms Recipient 12,2.55E+11,Grp1
Sms Recipient 13,2.55E+11,Grp1
Sms Recipient 14,2.55E+11,Grp1
Sms Recipient 15,2.55E+11,Grp1
Sms Recipient 16,2.55E+11,Grp1
Sms Recipient 17,2.55E+11,Grp1
Sms Recipient 18,2.55E+11,Grp1
Sms Recipient 19,2.55E+11,Grp1
Sms Recipient 20,2.55E+11,Grp1
